time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7
85285652,167,259,220,187,110,134,217
85318985,162,290,202,190,107,123,215
85352318,160,254,187,188,99,129,216
85385651,156,349,203,190,115,126,216
85418984,179,324,220,190,100,125,217
85452317,166,314,166,187,107,125,216
85485650,161,305,192,188,100,129,215
85518983,162,239,179,189,98,128,216
85552316,161,307,228,188,100,128,217
85585649,166,267,219,190,108,132,216
85618982,162,335,290,187,100,130,216
85652315,160,274,212,187,91,127,216
85685648,163,275,219,187,96,131,216
85718981,164,286,203,196,98,131,217
85752314,162,303,246,193,90,128,216
85785647,160,296,214,190,101,136,216
85818980,160,300,219,189,95,130,215
85852313,160,254,179,192,88,127,216
85885646,166,226,182,191,94,137,216
85918979,162,277,198,191,92,131,217
85952312,160,286,255,189,89,127,214
85985645,159,351,213,189,90,128,216
86018978,164,293,250,188,92,130,216
86052311,159,312,242,186,88,131,216
86085644,160,288,214,187,87,133,216
86118977,159,299,231,193,91,132,216
86152310,163,250,194,194,88,129,216
86185643,163,292,243,191,88,126,216
86218976,181,304,217,188,87,128,215
86252309,167,294,202,188,86,124,215
86285642,163,262,210,185,98,126,216
86318975,161,282,192,189,93,130,216
86352308,168,259,235,190,96,126,216
86385641,163,323,216,188,93,133,217
86418974,180,332,184,187,89,127,215
86452307,169,371,210,189,95,125,215
86485640,163,299,174,188,92,128,216
86518973,160,324,175,186,87,127,216
86552306,162,291,216,187,87,129,216
86585639,160,310,186,188,87,127,216
86618972,158,275,187,188,88,132,217
86652305,156,273,169,187,88,128,216
86685638,166,322,216,191,88,126,219
86718971,162,296,188,187,87,129,217
86752304,159,302,177,185,90,128,216
86785637,162,268,224,185,87,127,216
86818970,158,404,220,185,88,124,216
86852303,157,288,228,188,90,123,216
86885636,162,321,185,187,90,127,215
86918969,158,254,233,184,87,124,216
86952302,157,270,187,187,88,123,215
86985635,156,277,245,189,89,126,216
87018968,155,332,222,186,88,124,216
87052301,155,326,217,186,87,126,215
87085634,161,357,188,185,88,124,216
87118967,160,306,228,190,83,130,215
87152300,156,309,183,189,87,128,214
87185633,167,316,218,188,87,127,216
87218966,162,269,174,185,86,124,217
87252299,162,298,210,187,85,125,216
87285632,166,299,187,188,87,125,215
87318965,161,294,181,187,87,124,215
87352298,160,308,272,185,83,128,216
87385631,160,309,190,192,86,126,217
87418964,163,252,178,189,90,123,216
87452297,160,204,181,186,88,124,216
87485630,167,344,198,186,88,126,216
87518963,176,283,188,186,87,126,216
87552296,165,357,183,188,83,126,217
87585629,169,280,174,186,86,123,216
87618962,161,299,190,187,85,125,215
87652295,167,294,186,192,87,125,217
87685628,162,227,160,187,88,124,216
87718961,162,261,221,187,88,126,217
87752294,159,284,171,190,88,125,215
87785627,158,362,157,197,86,125,216
87818960,157,270,193,193,86,126,219
87852293,159,287,163,190,86,125,216
87885626,156,246,166,187,87,128,216
87918959,159,229,176,188,84,127,216
87952292,156,322,147,187,86,126,219
87985625,164,274,190,190,90,124,216
88018958,174,223,210,187,88,125,216
88052291,163,273,163,199,88,125,216
88085624,172,241,165,189,86,124,215
88118957,165,267,165,189,86,125,216
88152290,161,237,186,194,87,127,217
88185623,157,213,167,188,86,124,217
88218956,155,296,172,190,86,124,216
88252289,157,230,191,189,86,123,215
88285622,156,208,159,192,86,123,216
88318955,156,266,161,189,86,123,217
88352288,157,211,178,188,86,126,216
88385621,157,265,167,190,85,123,216
88418954,156,211,177,189,86,124,216
88452287,155,224,184,195,86,124,217
88485620,157,250,150,193,85,124,216
88518953,160,224,200,189,85,123,216
88552286,157,270,155,200,91,127,215
88585619,157,290,194,195,90,129,215
88618952,160,226,185,190,86,125,216
88652285,157,298,149,197,86,126,213
88685618,157,263,180,191,86,126,216
88718951,156,285,209,191,86,124,216
88752284,157,267,169,190,86,123,216
88785617,155,219,189,188,89,124,216
88818950,162,252,190,195,86,125,216
88852283,156,227,190,188,87,126,216
88885616,167,228,188,186,85,123,216
88918949,169,312,178,186,86,126,216
88952282,166,271,187,192,86,126,216
88985615,166,312,167,191,87,125,216
89018948,163,253,230,188,84,125,216
89052281,161,294,181,186,87,125,216
89085614,157,247,189,189,86,126,216
89118947,161,247,163,189,91,128,216
89152280,159,280,167,186,88,124,215
89185613,163,328,217,185,86,124,219
89218946,160,254,178,188,85,124,216
89252279,157,310,237,187,86,124,217
89285612,168,310,216,186,85,125,216
89318945,163,338,193,186,86,123,216
89352278,161,266,232,189,86,126,218
89385611,159,289,180,188,85,123,216
89418944,159,302,154,192,88,127,215
89452277,157,239,188,189,87,126,216
89485610,158,334,159,187,84,124,217
89518943,157,283,226,186,86,123,216
89552276,157,280,168,186,85,124,216
89585609,157,247,174,185,85,124,216
89618942,156,284,192,185,86,124,216
89652275,163,299,192,188,88,123,216
89685608,161,277,204,186,89,128,216
89718941,160,267,202,186,88,127,215
89752274,162,284,180,186,86,128,217
89785607,163,290,195,186,87,129,216
89818940,159,351,198,188,86,128,217
89852273,159,284,219,186,88,123,216
89885606,157,312,167,187,86,124,218
89918939,162,253,223,187,86,125,218
89952272,163,273,198,186,86,124,216
89985605,158,220,239,188,85,124,215
90018938,157,263,193,185,85,127,216
90052271,170,263,208,186,86,125,215
90085604,162,252,208,185,86,124,216
90118937,159,324,185,188,87,125,216
90152270,159,264,156,187,84,124,215
90185603,158,310,204,188,89,122,215
90218936,158,290,172,189,89,125,215
90252269,157,231,154,188,86,127,215
90285602,160,278,212,190,87,124,220
90318935,160,250,170,189,85,124,216
90352268,156,267,173,191,83,124,215
90385601,156,256,176,188,85,120,214
90418934,157,326,150,189,85,124,216
90452267,162,263,187,188,84,127,217
90485600,157,311,229,187,84,124,216
90518933,158,280,197,187,86,124,216
90552266,162,284,255,188,83,124,216
90585599,159,294,237,188,87,124,215
90618932,157,245,181,190,87,125,216
90652265,162,305,219,192,84,126,217
90685598,158,249,177,190,84,123,217
90718931,162,329,178,194,86,123,215
90752264,159,263,193,189,89,124,218
90785597,157,331,196,189,89,126,218
90818930,159,251,164,189,87,125,216
90852263,164,329,196,188,88,125,215
90885596,161,261,177,187,84,125,217
90918929,159,255,204,186,87,124,217
90952262,156,234,227,190,86,126,216
90985595,160,242,218,188,86,129,217
91018928,162,248,235,188,85,124,218
91052261,164,268,172,187,85,125,231
91085594,158,281,183,186,85,125,313
91118927,166,244,183,189,87,124,417
91152260,163,310,196,190,85,124,475
91185593,159,241,153,189,89,125,488
91218926,163,215,194,188,87,126,452
91252259,159,192,197,188,86,127,490
91285592,157,281,163,192,89,123,604
91318925,156,215,142,191,90,125,665
91352258,158,311,185,187,86,124,720
91385591,157,233,158,190,84,122,656
91418924,157,214,144,191,85,124,534
91452257,157,259,192,193,84,123,450
91485590,162,220,178,189,86,123,435
91518923,158,195,198,188,84,123,427
91552256,159,265,177,187,85,124,444
91585589,157,225,185,189,86,123,601
91618922,164,265,179,193,86,124,698
91652255,159,204,147,188,86,123,742
91685588,161,206,193,190,86,125,757
91718921,159,252,198,187,86,123,772
